CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3 tabs.py
MEM 1.066406 1608090215.5240
MEM 16.410156 1608090215.6248
MEM 28.863281 1608090215.7260
MEM 41.289062 1608090215.8265
MEM 51.753906 1608090215.9292
MEM 56.585938 1608090216.0299
MEM 71.007812 1608090216.1310
MEM 82.550781 1608090216.2337
MEM 95.476562 1608090216.3342
MEM 110.937500 1608090216.4394
MEM 156.398438 1608090216.5403
MEM 190.632812 1608090216.6421
MEM 191.664062 1608090216.7426
MEM 194.718750 1608090216.8471
MEM 195.679688 1608090216.9503
MEM 195.679688 1608090217.0548
MEM 195.679688 1608090217.1570
MEM 195.679688 1608090217.2613
MEM 195.679688 1608090217.3665
MEM 195.773438 1608090217.4716
MEM 195.773438 1608090217.5728
MEM 195.773438 1608090217.6737
MEM 195.773438 1608090217.7740
MEM 195.773438 1608090217.8753
MEM 195.773438 1608090217.9790
MEM 195.773438 1608090218.0842
MEM 195.773438 1608090218.1896
MEM 195.773438 1608090218.2900
MEM 195.773438 1608090218.3932
MEM 195.773438 1608090218.4977
MEM 195.773438 1608090218.6023
MEM 195.773438 1608090218.7070
MEM 195.773438 1608090218.8098
MEM 195.828125 1608090218.9147
MEM 195.828125 1608090219.0163
MEM 195.828125 1608090219.1168
MEM 195.828125 1608090219.2192
MEM 195.828125 1608090219.3243
MEM 195.828125 1608090219.4285
MEM 195.828125 1608090219.5308
MEM 195.828125 1608090219.6347
MEM 195.828125 1608090219.7350
MEM 195.828125 1608090219.8352
MEM 195.863281 1608090219.9355
MEM 195.863281 1608090220.0358
MEM 195.863281 1608090220.1363
MEM 195.863281 1608090220.2372
MEM 195.863281 1608090220.3425
MEM 195.863281 1608090220.4470
MEM 195.863281 1608090220.5472
MEM 195.863281 1608090220.6517
MEM 195.863281 1608090220.7551
MEM 195.863281 1608090220.8601
MEM 195.863281 1608090220.9606
MEM 195.863281 1608090221.0658
MEM 195.863281 1608090221.1694
MEM 195.863281 1608090221.2747
MEM 195.863281 1608090221.3798
MEM 195.863281 1608090221.4815
MEM 195.863281 1608090221.5856
MEM 195.863281 1608090221.6863
MEM 195.863281 1608090221.7869
MEM 195.863281 1608090221.8874
MEM 195.863281 1608090221.9893
MEM 195.863281 1608090222.0925
MEM 195.863281 1608090222.1959
MEM 195.863281 1608090222.2988
MEM 195.863281 1608090222.3999
MEM 195.863281 1608090222.5006
MEM 195.863281 1608090222.6037
MEM 195.863281 1608090222.7091
MEM 195.863281 1608090222.8093
MEM 195.863281 1608090222.9119
MEM 195.863281 1608090223.0159
MEM 195.863281 1608090223.1205
