CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3 tabs.py
MEM 0.312500 1608082948.8464
MEM 16.968750 1608082948.9479
MEM 29.187500 1608082949.0483
MEM 41.031250 1608082949.1488
MEM 48.812500 1608082949.2539
MEM 60.492188 1608082949.3572
MEM 78.976562 1608082949.4623
MEM 87.679688 1608082949.5626
MEM 99.687500 1608082949.6677
MEM 139.218750 1608082949.7710
MEM 171.890625 1608082949.8762
MEM 207.562500 1608082949.9813
MEM 211.800781 1608082950.0839
MEM 213.265625 1608082950.1890
MEM 220.390625 1608082950.2941
MEM 223.324219 1608082950.3992
MEM 227.257812 1608082950.4997
MEM 227.257812 1608082950.6049
MEM 227.257812 1608082950.7053
MEM 227.257812 1608082950.8104
MEM 227.257812 1608082950.9145
MEM 227.320312 1608082951.0149
MEM 227.320312 1608082951.1191
MEM 227.320312 1608082951.2213
MEM 227.320312 1608082951.3240
MEM 227.320312 1608082951.4274
MEM 227.320312 1608082951.5279
MEM 227.320312 1608082951.6283
MEM 227.320312 1608082951.7289
MEM 227.320312 1608082951.8340
MEM 227.320312 1608082951.9372
MEM 227.320312 1608082952.0375
MEM 227.320312 1608082952.1404
MEM 227.320312 1608082952.2414
MEM 227.320312 1608082952.3438
MEM 227.320312 1608082952.4453
MEM 227.320312 1608082952.5457
MEM 227.320312 1608082952.6496
MEM 227.320312 1608082952.7499
MEM 227.320312 1608082952.8540
MEM 227.320312 1608082952.9550
MEM 227.382812 1608082953.0569
MEM 227.382812 1608082953.1623
MEM 227.382812 1608082953.2636
MEM 227.382812 1608082953.3640
MEM 227.382812 1608082953.4665
MEM 227.382812 1608082953.5713
MEM 227.382812 1608082953.6754
MEM 227.382812 1608082953.7792
MEM 227.382812 1608082953.8828
MEM 227.382812 1608082953.9870
MEM 227.382812 1608082954.0875
MEM 227.382812 1608082954.1878
MEM 227.382812 1608082954.2899
MEM 227.382812 1608082954.3952
MEM 227.382812 1608082954.4956
MEM 227.382812 1608082954.5982
MEM 227.382812 1608082954.7006
MEM 227.382812 1608082954.8060
MEM 227.382812 1608082954.9113
MEM 227.382812 1608082955.0140
MEM 227.445312 1608082955.1145
MEM 227.445312 1608082955.2164
MEM 227.445312 1608082955.3218
MEM 227.445312 1608082955.4272
MEM 227.445312 1608082955.5300
MEM 227.507812 1608082955.6307
MEM 227.507812 1608082955.7358
MEM 227.507812 1608082955.8397
MEM 227.507812 1608082955.9407
MEM 227.507812 1608082956.0419
MEM 227.507812 1608082956.1442
MEM 227.507812 1608082956.2496
MEM 227.507812 1608082956.3516
MEM 227.507812 1608082956.4570
MEM 227.507812 1608082956.5577
MEM 227.507812 1608082956.6630
MEM 227.507812 1608082956.7667
MEM 227.507812 1608082956.8714
MEM 227.507812 1608082956.9720
MEM 227.507812 1608082957.0758
MEM 227.507812 1608082957.1812
MEM 227.507812 1608082957.2818
MEM 227.507812 1608082957.3872
MEM 227.507812 1608082957.4877
MEM 227.507812 1608082957.5893
MEM 227.507812 1608082957.6899
